payer_id,age,annual_income_cad,employment_status,marital_status,city,province,loan_amount,interest_rate,loan_term_years,loan_term_months,current_balance,loan_status,monthly_payment,origination_date,maturity_date,delinquency_risk,lender,institution_name,institution_city,institution_province,program_name,program_type,field_of_study,program_difficulty,program_duration_years,typical_tuition_cad,employment_rate_percent,avg_starting_salary_cad,university_name,institution_type,requires_licensing,job_market_outlook,income_category,age_group,program_difficulty_label,remaining_balance_pct,payment_to_income_ratio_pct,recommended_approach,career_outlook_flag
421,39,0,Unemployed,Married,Quebec City,Quebec,388472.78,3.243,25,300,388472.78,In Grace Period,1891.65,2026-04-01,2051-04-01,1.0,Bank of Nova Scotia,University of Alberta,Edmonton,Alberta,Early Childhood Education,Bachelor's,Education,1,4.0,24996.5,83.8,45059.1,Western College,College,0,Excellent,Low Income,Mid-Career (35-49),Low Difficulty,100.0,,Proactive Monitoring,Moderate Job Market
598,26,41869,Full-time,Divorced,Vancouver,British Columbia,385361.75,4.598,25,300,318392.26,Active,2163.46,2019-06-01,2044-06-01,1.0,National Bank of Canada,Ryerson University,Toronto,Ontario,Elementary Education,Bachelor's,Education,2,4.0,27618.4,83.5,50773.63,University of British Columbia (UBC),University,0,Fair,Medium Income,Young Professional (25-34),Medium Difficulty,82.62,62.01,Proactive Monitoring,Moderate Job Market
178,28,0,Unemployed,Divorced,Burnaby,British Columbia,383518.36,8.543,20,240,346268.18,Active,3338.71,2021-01-01,2041-01-01,1.0,Bank of Montreal,Carleton University,Ottawa,Ontario,Doctor of Medicine,Professional,Medicine,3,4.0,92400.62,92.2,121546.42,Metropolitan Professional School,Professional School,1,Good,Low Income,Young Professional (25-34),High Difficulty,90.29,,Proactive Monitoring,Strong Job Market
442,37,49663,Full-time,Divorced,Montreal,Quebec,376502.81,4.43,25,300,307026.88,Active,2077.79,2019-03-01,2044-03-01,1.0,CIBC,Simon Fraser University,Burnaby,British Columbia,Criminal Justice,Bachelor's,Social Sciences,2,4.0,29149.24,76.6,46781.72,Central College,College,0,Challenging,Medium Income,Mid-Career (35-49),Medium Difficulty,81.55,50.21,Proactive Monitoring,Moderate Job Market
242,39,0,Unemployed,Married,Winnipeg,Manitoba,372163.83,3.749,20,240,312110.83,Active,2206.32,2021-11-01,2041-11-01,1.0,Bank of Montreal,York University,Toronto,Ontario,Master of Science in Engineering,Master's,Engineering,3,2.0,55848.0,87.5,82316.7,University of British Columbia (UBC),University,1,Fair,Low Income,Mid-Career (35-49),High Difficulty,83.86,,Proactive Monitoring,Strong Job Market
710,30,45950,Full-time,Married,Red Deer,Alberta,370218.35,10.035,15,180,296767.93,Active,3986.32,2020-02-01,2035-02-01,1.0,National Bank of Canada,Simon Fraser University,Burnaby,British Columbia,Juris Doctor (Law),Professional,Law,3,3.0,79314.58,78.8,77940.76,Central Professional School,Professional School,1,Challenging,Medium Income,Young Professional (25-34),High Difficulty,80.16,104.1,Proactive Monitoring,Moderate Job Market
206,23,71062,Full-time,Divorced,Surrey,British Columbia,365081.88,4.77,15,180,238057.37,Active,2843.49,2019-11-01,2034-11-01,1.0,TD Student Line of Credit,University of Manitoba,Winnipeg,Manitoba,Nursing,Bachelor's,Healthcare,2,4.0,39406.16,91.0,68856.86,University of Alberta,University,1,Excellent,High Income,Young Adult (18-24),Medium Difficulty,65.21,48.02,Proactive Monitoring,Strong Job Market
31,31,0,Unemployed,Married,Brandon,Manitoba,364236.47,10.942,25,300,364236.47,In Grace Period,3554.67,2025-10-01,2050-10-01,1.0,BMO Student Banking Program,University of Saskatchewan,Saskatoon,Saskatchewan,Business Administration,Bachelor's,Business,1,4.0,38354.87,91.8,55993.86,Northern College,College,0,Excellent,Low Income,Young Professional (25-34),Low Difficulty,100.0,,Proactive Monitoring,Strong Job Market
350,43,0,Unemployed,Married,Brampton,Ontario,363091.37,3.344,15,180,265279.78,In Deferment,2567.95,2021-06-01,2036-06-01,1.0,Bank of Montreal,University of Victoria,Victoria,British Columbia,Computer Science,Bachelor's,Technology,2,4.0,46476.55,91.9,73443.75,University of Waterloo,University,0,Fair,Low Income,Mid-Career (35-49),Medium Difficulty,73.06,,Proactive Monitoring,Strong Job Market
456,22,23095,Part-time,Married,Laval,Quebec,355106.7,10.641,25,300,337422.22,Active,3388.68,2021-07-01,2046-07-01,1.0,Bank of Nova Scotia,Simon Fraser University,Burnaby,British Columbia,Communications,Bachelor's,Liberal Arts,1,4.0,30347.88,76.6,43539.85,Metropolitan College,College,0,Good,Low Income,Young Adult (18-24),Low Difficulty,95.02,176.07,Proactive Monitoring,Moderate Job Market
59,28,67313,Full-time,Common-law,Edmonton,Alberta,346432.34,6.336,15,180,303447.87,Active,2986.65,2022-12-01,2037-12-01,1.0,CIBC,University of Calgary,Calgary,Alberta,Nursing,Bachelor's,Healthcare,2,4.0,39406.16,91.0,68856.86,University of Alberta,University,1,Excellent,Medium Income,Young Professional (25-34),Medium Difficulty,87.59,53.24,Proactive Monitoring,Strong Job Market
647,30,15355,Part-time,Married,Vancouver,British Columbia,341482.3,8.204,15,180,293227.66,Active,3303.73,2021-09-01,2036-09-01,1.0,National Bank of Canada,University of Saskatchewan,Saskatoon,Saskatchewan,Automotive Technology,Certificate,Technical,1,2.0,17732.27,83.7,45175.53,Northern Community College,Community College,0,Fair,Low Income,Young Professional (25-34),Low Difficulty,85.87,258.19,Proactive Monitoring,Moderate Job Market
958,20,18484,Part-time,Single,Toronto,Ontario,332750.45,5.051,15,180,259318.03,Active,2640.22,2021-11-01,2036-11-01,1.0,National Bank of Canada,University of Ottawa,Ottawa,Ontario,Business Administration,Bachelor's,Business,1,4.0,38354.87,91.8,55993.86,Northern College,College,0,Excellent,Low Income,Young Adult (18-24),Low Difficulty,77.93,171.41,Proactive Monitoring,Strong Job Market
451,20,49885,Full-time,Single,Burnaby,British Columbia,323601.96,9.07,25,300,313317.57,Active,2731.18,2022-08-01,2047-08-01,1.0,TD Canada Trust,University of Waterloo,Waterloo,Ontario,Psychology,Bachelor's,Social Sciences,2,4.0,35551.65,79.2,44490.17,Northern College,College,0,Fair,Medium Income,Young Adult (18-24),Medium Difficulty,96.82,65.7,Proactive Monitoring,Moderate Job Market
829,44,15599,Part-time,Single,Steinbach,Manitoba,320708.83,10.628,15,180,258192.73,Active,3570.6,2020-12-01,2035-12-01,1.0,RBC Student Banking,McGill University,Montreal,Quebec,Criminal Justice,Bachelor's,Social Sciences,2,4.0,29149.24,76.6,46781.72,Central College,College,0,Challenging,Low Income,Mid-Career (35-49),Medium Difficulty,80.51,274.68,Proactive Monitoring,Moderate Job Market
684,25,72753,Full-time,Widowed,Hamilton,Ontario,316273.12,3.516,25,300,284605.85,Active,1586.05,2022-07-01,2047-07-01,1.0,TD Canada Trust,Memorial University,St. John's,Newfoundland,Master of Social Work,Master's,Social Sciences,2,2.0,43258.74,90.1,59912.03,Eastern Professional School,Professional School,0,Good,High Income,Young Professional (25-34),Medium Difficulty,89.99,26.16,Proactive Monitoring,Strong Job Market
