loan_id,payer_id,program_id,loan_amount,interest_rate,loan_term_years,loan_term_months,loan_type,institution_name,institution_city,institution_province,education_value,down_payment,ltv_ratio,origination_date,disbursement_date,maturity_date,current_balance,loan_status,lender,program_duration_years,monthly_payment,grace_period_months
1,1,40,112248.23,4.098,25,300,Student Loan,Memorial University,St. John's,Newfoundland,126087.03555885424,13838.805558854248,89.02,2023-09-02,2023-10-15,2048-09-02,105222.09,Active,Bank of Montreal,2,598.58,0
2,2,14,247052.86,7.102,25,300,Private Education Loan,University of Calgary,Calgary,Alberta,281853.62552549486,34800.76552549488,87.65,2023-10-02,2024-05-06,2048-10-02,241370.83,Active,Royal Bank of Canada,3,1762.23,12
3,3,2,319488.17,11.565,25,300,Private Education Loan,Queen's University,Kingston,Ontario,397225.39037579426,77737.22037579428,80.43,2021-08-02,2023-09-03,2046-08-02,309484.46,Active,Provincial Student Aid,5,3262.69,12
4,4,12,86017.5,6.993,25,300,Parent PLUS Loan,University of Ottawa,Ottawa,Ontario,126120.94655074466,40103.44655074466,68.2,2021-05-02,2022-01-01,2046-05-02,79438.71,Active,Bank of Montreal,2,607.57,6
5,5,16,393628.33,2.852,25,300,Graduate Student Loan,Simon Fraser University,Burnaby,British Columbia,489431.69191529485,95803.36191529484,80.43,2020-05-02,2024-05-09,2045-05-02,335601.27,Active,BMO Student Banking Program,5,1836.47,12
6,6,13,176524.78,6.273,20,240,Education Line of Credit,University of Calgary,Calgary,Alberta,217944.84142447184,41420.061424471845,81.0,2026-03-02,2026-05-15,2046-03-02,176524.78,In Grace Period,CIBC,3,1292.64,12
7,7,18,222722.99,6.804,25,300,Education Line of Credit,University of Manitoba,Winnipeg,Manitoba,260001.51689046936,37278.526890469366,85.66,2023-03-02,2023-09-12,2048-03-02,211085.18,Active,CIBC,4,1546.42,0
8,8,42,206803.95,5.99,20,240,Education Line of Credit,University of Ottawa,Ottawa,Ontario,263695.2452378097,56891.29523780971,78.43,2025-05-02,2025-07-02,2045-05-02,204540.88,Active,BMO Student Banking Program,3,1480.41,6
9,9,23,275236.1,4.184,20,240,Graduate Student Loan,Concordia University,Montreal,Quebec,436614.8877563747,161378.78775637475,63.04,2019-08-02,2023-01-02,2039-08-02,206578.39,Active,National Bank of Canada,5,1694.68,0
10,10,20,242223.92,7.704,20,240,Education Line of Credit,University of Victoria,Victoria,British Columbia,321176.727315725,78952.80731572499,75.42,2020-09-02,2023-05-13,2040-09-02,206651.01,Active,Bank of Montreal,5,1981.67,0
11,11,40,99469.83,4.221,15,180,Graduate Student Loan,University of Calgary,Calgary,Alberta,140422.47937630786,40952.64937630786,70.84,2024-06-02,2024-08-27,2039-06-02,90406.8,Active,TD Student Line of Credit,3,746.83,0
12,12,12,161264.98,3.831,15,180,Student Loan,McMaster University,Hamilton,Ontario,249871.55578467812,88606.5757846781,64.54,2022-01-02,2024-01-01,2037-01-02,124529.17,Active,Provincial Student Aid,3,1179.25,0
13,13,3,115546.3,3.76,15,180,Student Loan,University of Ottawa,Ottawa,Ontario,185731.60554001122,70185.30554001122,62.21,2022-06-02,2024-05-05,2037-06-02,95176.0,Active,CIBC,2,840.85,6
14,14,10,194813.38,3.45,15,180,Graduate Student Loan,University of Ottawa,Ottawa,Ontario,258808.82854684623,63995.44854684622,75.27,2025-09-02,2025-11-20,2040-09-02,188968.42,Active,Royal Bank of Canada,5,1387.91,0
15,15,12,312553.22,11.218,25,300,Parent PLUS Loan,McMaster University,Hamilton,Ontario,481479.21431797754,168925.99431797757,64.92,2022-10-02,2024-01-06,2047-10-02,304427.29,Active,Bank of Nova Scotia,5,3112.76,6
16,16,20,109099.65,5.511,20,240,Education Line of Credit,University of Saskatchewan,Saskatoon,Saskatchewan,133139.1652150095,24039.51521500951,81.94,2023-06-02,2023-07-25,2043-06-02,103323.35,Active,TD Canada Trust,2,751.16,12
17,17,24,176042.74,4.157,25,300,Graduate Student Loan,University of Alberta,Edmonton,Alberta,272468.76613202435,96426.02613202436,64.61,2024-05-02,2024-06-25,2049-05-02,168043.93,Active,Bank of Montreal,3,944.55,0
18,18,26,171521.89,9.497,25,300,Private Education Loan,University of Ottawa,Ottawa,Ontario,194988.62180400454,23466.73180400452,87.97,2021-03-02,2023-01-11,2046-03-02,163135.63,Active,BMO Student Banking Program,3,1498.22,12
19,19,16,350835.53,5.091,25,300,Education Line of Credit,University of British Columbia,Vancouver,British Columbia,446518.3608746022,95682.8308746022,78.57,2023-05-02,2023-09-05,2048-05-02,336825.81,Active,Provincial Student Aid,5,2069.59,12
20,20,36,91974.9,11.358,20,240,Private Education Loan,Ryerson University,Toronto,Ontario,135774.84671401032,43799.94671401032,67.74,2023-05-02,2023-06-22,2043-05-02,87793.85,Active,Scotiabank Student Line of Credit,2,971.86,0
21,21,5,141824.18,3.517,15,180,Student Loan,Carleton University,Ottawa,Ontario,175921.26966929613,34097.08966929614,80.62,2022-05-02,2022-06-02,2037-05-02,111667.21,Active,TD Canada Trust,3,1015.06,0
22,22,16,214100.91,3.997,15,180,Graduate Student Loan,Queen's University,Kingston,Ontario,258494.49706795148,44393.58706795148,82.83,2025-09-02,2025-10-16,2040-09-02,207948.15,Active,Provincial Student Aid,4,1583.36,0
23,23,29,87844.13,7.879,25,300,Education Line of Credit,University of British Columbia,Vancouver,British Columbia,127986.34352447261,40142.21352447261,68.64,2023-11-02,2023-12-12,2048-11-02,86155.8,Active,CIBC,2,670.97,12
24,24,19,164968.37,4.154,15,180,Student Loan,McMaster University,Hamilton,Ontario,250130.84331956558,85162.47331956559,65.95,2020-02-02,2022-01-12,2035-02-02,118457.87,Active,Canada Student Loans Program,5,1233.02,12
