payer_id,due_date,paid_date,payment_due,amount_paid,principal_payment,interest_payment,escrow_payment,late_fee,total_amount_due,remaining_balance,status,days_late,payment_method,payment_processor,transaction_id,confirmation_number,payment_type
1,2020-03-01,2020-03-05,1553.65,1553.65,658.26,895.39,234.53,0.0,1788.18,311688.99,Paid,4.0,Check,Mastercard Debit,6E26586B,MP607067,Regular
1,2020-04-01,2020-04-04,1553.65,1553.65,660.14,893.51,382.11,0.0,1935.76,311028.85,Paid,3.0,Online Payment,Mastercard Debit,D5F56348,MP822888,Regular
1,2020-05-01,2020-05-01,1553.65,1553.65,662.04,891.61,748.9,0.0,2302.55,310366.81,Paid,0.0,Mobile App,BMO Digital Banking,176BEBFD,MP849464,Regular
1,2020-06-01,2020-06-03,1553.65,1553.65,663.93,889.72,584.19,0.0,2137.84,309702.88,Paid,2.0,Auto-Pay,Visa Debit,CB6F4F8A,MP941612,Regular
1,2020-07-01,2020-07-02,1553.65,1553.65,665.84,887.81,416.91,0.0,1970.56,309037.04,Paid,1.0,Phone Payment,BMO Digital Banking,97116B5D,MP913779,Regular
1,2020-08-01,2020-08-02,1553.65,1553.65,667.75,885.9,723.89,0.0,2277.54,308369.3,Paid,1.0,Auto-Pay,Mastercard Debit,FDD04419,MP714985,Regular
1,2020-09-01,2020-09-08,1553.65,1553.65,669.66,883.99,678.61,0.0,2232.26,307699.64,Paid,7.0,Mobile App,BMO Digital Banking,BDBED6CB,MP767936,Regular
1,2020-10-01,2020-10-08,1553.65,1553.65,671.58,882.07,356.86,0.0,1910.51,307028.06,Paid,7.0,Bank Transfer,BMO Digital Banking,71591CD3,MP246759,Regular
1,2020-11-01,2020-11-05,1553.65,1553.65,673.5,880.14,531.37,0.0,2085.02,306354.55,Paid,4.0,Auto-Pay,BMO Digital Banking,A22F4EF5,MP872780,Regular
1,2020-12-01,2020-12-03,1553.65,1553.65,675.44,878.21,654.71,0.0,2208.36,305679.12,Paid,2.0,Mobile App,Mastercard Debit,3986BD9E,MP634628,Regular
1,2021-01-01,2021-01-02,1553.65,1553.65,677.37,876.28,444.73,0.0,1998.38,305001.75,Paid,1.0,Auto-Pay,TD EasyWeb,0D16721B,MP160919,Regular
1,2021-02-01,2021-02-02,1553.65,1553.65,679.31,874.34,507.27,0.0,2060.92,304322.43,Paid,1.0,Auto-Pay,RBC Online,C78F96C7,MP345817,Regular
1,2021-03-01,2021-03-03,1553.65,1553.65,681.26,872.39,497.54,0.0,2051.19,303641.17,Paid,2.0,Bank Transfer,TD EasyWeb,7B62CE7B,MP363316,Regular
1,2021-04-01,2021-04-06,1553.65,1553.65,683.21,870.44,585.9,0.0,2139.55,302957.96,Paid,5.0,Online Payment,Visa Debit,417DAC5D,MP604678,Regular
1,2021-05-01,2021-05-01,1553.65,1553.65,685.17,868.48,624.56,0.0,2178.21,302272.78,Paid,0.0,Bank Transfer,RBC Online,DB72E6BC,MP155404,Regular
1,2021-06-01,2021-06-06,1553.65,1553.65,687.14,866.51,560.38,0.0,2114.03,301585.65,Paid,5.0,Mobile App,BMO Digital Banking,C680B5A2,MP226960,Regular
1,2021-07-01,2021-07-05,1553.65,1553.65,689.11,864.54,455.89,0.0,2009.54,300896.54,Paid,4.0,Mobile App,BMO Digital Banking,AD68B36A,MP810938,Regular
1,2021-08-01,2021-08-01,1553.65,1553.65,691.08,862.57,659.9,0.0,2213.55,300205.46,Paid,0.0,Auto-Pay,Visa Debit,31FA85FA,MP719759,Regular
1,2021-09-01,2021-09-02,1553.65,1553.65,693.06,860.59,601.18,0.0,2154.83,299512.4,Paid,1.0,Bank Transfer,BMO Digital Banking,EC83FCAC,MP132339,Regular
